слово;количество;процент
хвостом;2;0.12
хочет;2;0.12
часто;2;0.12
шум;2;0.12
шума;2;0.12
щенка;2;0.12
эту;2;0.12
аппетита;1;0.06
арапки;1;0.06
арапку;1;0.06
баран;1;0.06
барана;1;0.06
баранов;1;0.06
барсук;1;0.06
бегал;1;0.06
бежит;1;0.06
без;1;0.06
белолобого;1;0.06
белую;1;0.06
белый;1;0.06
беспокоились;1;0.06
блекли;1;0.06
блеске;1;0.06
блеял;1;0.06
близко;1;0.06
божий;1;0.06
боком;1;0.06
боролись;1;0.06
борьбу;1;0.06
боятся;1;0.06
бродил;1;0.06
бросилась;1;0.06
броситься;1;0.06
бугор;1;0.06
будет;1;0.06
бурей;1;0.06
бури;1;0.06
бывает;1;0.06
бывают;1;0.06
былое;1;0.06
бычьи;1;0.06
валялись;1;0.06
вверх;1;0.06
вероятно;1;0.06
верстах;1;0.06
весело;1;0.06
весеннему;1;0.06
весенний;1;0.06
весной;1;0.06
ветра;1;0.06
вечером;1;0.06
вздохнул;1;0.06
вздрагивала;1;0.06
взошло;1;0.06
взявши;1;0.06
видно;1;0.06
видя;1;0.06
визжа;1;0.06
внизу;1;0.06
внимания;1;0.06
внимательно;1;0.06
возвращавшуюся;1;0.06
возвращался;1;0.06
волокла;1;0.06
волчат;1;0.06
волчатами;1;0.06
волчихе;1;0.06
волчихи;1;0.06
волчихой;1;0.06
волчиху;1;0.06
волчонка;1;0.06
волчонок;1;0.06
вон;1;0.06
воображая;1;0.06
вороны;1;0.06
восторга;1;0.06
воют;1;0.06
времени;1;0.06
всей;1;0.06
всех;1;0.06
вспархивали;1;0.06
вспоминала;1;0.06
вставать;1;0.06
встала;1;0.06
втроем;1;0.06
вчерашняя;1;0.06
вывернуло;1;0.06
выйдя;1;0.06
выла;1;0.06
вылетел;1;0.06
выражение;1;0.06
высокими;1;0.06
высоких;1;0.06
высокой;1;0.06
высокую;1;0.06
высунешь;1;0.06
глупое;1;0.06
глупый;1;0.06
гнилая;1;0.06
года;1;0.06
голова;1;0.06
головой;1;0.06
голодная;1;0.06
голоду;1;0.06
голоском;1;0.06
голосом;1;0.06
голубые;1;0.06
гони;1;0.06
гонялись;1;0.06
гостя;1;0.06
грели;1;0.06
громадная;1;0.06
громадный;1;0.06
громче;1;0.06
грудью;1;0.06
грызла;1;0.06
грызть;1;0.06
гулять;1;0.06
густым;1;0.06
да;1;0.06
давай;1;0.06
давая;1;0.06
давно;1;0.06
дало;1;0.06
дальше;1;0.06
два;1;0.06
дворняжка;1;0.06
декабре;1;0.06
деле;1;0.06
день;1;0.06
деревья;1;0.06
деревьями;1;0.06
держала;1;0.06
дне;1;0.06
дневном;1;0.06
днем;1;0.06
добыча;1;0.06
добычей;1;0.06
долго;1;0.06
должны;1;0.06
домой;1;0.06
дорога;1;0.06
дороге;1;0.06
досадой;1;0.06
другую;1;0.06
думая;1;0.06
дыра;1;0.06
дыша;1;0.06
едала;1;0.06
ему;1;0.06
жеребятами;1;0.06
живот;1;0.06
жил;1;0.06
жила;1;0.06
забегала;1;0.06
забиралась;1;0.06
забирая;1;0.06
заблеял;1;0.06
завизжало;1;0.06
завыла;1;0.06
заделана;1;0.06
задний;1;0.06
задрал;1;0.06
зайцев;1;0.06
зайчиху;1;0.06
закудахтали;1;0.06
залаяло;1;0.06
заливчатый;1;0.06
залилось;1;0.06
залился;1;0.06
замахал;1;0.06
замахали;1;0.06
замелькало;1;0.06
заметив;1;0.06
замечать;1;0.06
запах;1;0.06
запаха;1;0.06
зарычала;1;0.06
засверкал;1;0.06
засвистел;1;0.06
заскулил;1;0.06
затихло;1;0.06
зачем;1;0.06
звонким;1;0.06
звуки;1;0.06
зрение;1;0.06
зубах;1;0.06
игната;1;0.06
играет;1;0.06
играли;1;0.06
идет;1;0.06
идти;1;0.06
из;1;0.06
изба;1;0.06
избу;1;0.06
издали;1;0.06
изумрудными;1;0.06
или;1;0.06
им;1;0.06
имени;1;0.06
иначе;1;0.06
искоса;1;0.06
испугавшись;1;0.06
ка;1;0.06
каждую;1;0.06
каждый;1;0.06
казались;1;0.06
казалось;1;0.06
какие;1;0.06
какой;1;0.06
какою;1;0.06
кашлял;1;0.06
колодец;1;0.06
корнем;1;0.06
кости;1;0.06
которую;1;0.06
которыми;1;0.06
красивые;1;0.06
краю;1;0.06
кругов;1;0.06
крупной;1;0.06
крупных;1;0.06
крыльце;1;0.06
крыльцо;1;0.06
крыше;1;0.06
кто;1;0.06
кудахтали;1;0.06
курок;1;0.06
кусать;1;0.06
кусты;1;0.06
кучу;1;0.06
кушать;1;0.06
лай;1;0.06
лапы;1;0.06
лая;1;0.06
лаял;1;0.06
лаять;1;0.06
лбом;1;0.06
лбу;1;0.06
легко;1;0.06
легли;1;0.06
лесное;1;0.06
лесом;1;0.06
лесу;1;0.06
лет;1;0.06
летом;1;0.06
лизнул;1;0.06
лисий;1;0.06
листья;1;0.06
логовища;1;0.06
лопнула;1;0.06
лошадей;1;0.06
лошадиную;1;0.06
лошадиных;1;0.06
люблю;1;0.06
людей;1;0.06
люди;1;0.06
маленькие;1;0.06
мало;1;0.06
манерам;1;0.06
мерные;1;0.06
места;1;0.06
месяц;1;0.06
механиках;1;0.06
мимо;1;0.06
мне;1;0.06
мнительная;1;0.06
мной;1;0.06
можжевельника;1;0.06
мозгу;1;0.06
молода;1;0.06
молодости;1;0.06
молока;1;0.06
молоком;1;0.06
морды;1;0.06
мох;1;0.06
мужикам;1;0.06
мыслей;1;0.06
мягкое;1;0.06
мясо;1;0.06
набредя;1;0.06
назад;1;0.06
наигравшись;1;0.06
наказывая;1;0.06
наконец;1;0.06
намедни;1;0.06
напали;1;0.06
направлению;1;0.06
напрягая;1;0.06
напрягла;1;0.06
находилась;1;0.06
начал;1;0.06
начать;1;0.06
начинало;1;0.06
наш;1;0.06
невежа;1;0.06
неглубокой;1;0.06
недоумении;1;0.06
нежно;1;0.06
неизвестной;1;0.06
неистово;1;0.06
ней;1;0.06
нем;1;0.06
неосторожными;1;0.06
непременно;1;0.06
непрошенного;1;0.06
несколько;1;0.06
несмело;1;0.06
нет;1;0.06
нею;1;0.06
ни;1;0.06
никогда;1;0.06
новые;1;0.06
ногами;1;0.06
ногах;1;0.06
ноги;1;0.06
норовит;1;0.06
ночам;1;0.06
ночевавший;1;0.06
ночи;1;0.06
ношу;1;0.06
ну;1;0.06
обеспокоенные;1;0.06
обидел;1;0.06
облизал;1;0.06
облизала;1;0.06
обманутая;1;0.06
обнюхивал;1;0.06
обогнала;1;0.06
образовалась;1;0.06
обращают;1;0.06
обходила;1;0.06
овец;1;0.06
овечьего;1;0.06
овечьим;1;0.06
овцами;1;0.06
овцы;1;0.06
оглушительное;1;0.06
оглядываясь;1;0.06
огненный;1;0.06
огонька;1;0.06
одиноко;1;0.06
одного;1;0.06
одною;1;0.06
одну;1;0.06
около;1;0.06
окружены;1;0.06
осенью;1;0.06
осечка;1;0.06
осечку;1;0.06
осинку;1;0.06
осинником;1;0.06
ослабело;1;0.06
остановилась;1;0.06
остановиться;1;0.06
осторожно;1;0.06
ответил;1;0.06
отвращением;1;0.06
отдало;1;0.06
отдохнуть;1;0.06
отнимала;1;0.06
отошла;1;0.06
отправилась;1;0.06
отскочила;1;0.06
оттрепал;1;0.06
отчетливо;1;0.06
охоте;1;0.06
охотилась;1;0.06
охрип;1;0.06
п;1;0.06
падал;1;0.06
падалью;1;0.06
парах;1;0.06
паслись;1;0.06
пел;1;0.06
первое;1;0.06
передними;1;0.06
перелетавшие;1;0.06
перепуганная;1;0.06
переставала;1;0.06
печь;1;0.06
питалась;1;0.06
пихая;1;0.06
плечо;1;0.06
повадился;1;0.06
поваленную;1;0.06
повторяло;1;0.06
повыл;1;0.06
погнались;1;0.06
погодя;1;0.06
подвывающим;1;0.06
подлец;1;0.06
подозвал;1;0.06
подойдя;1;0.06
подошла;1;0.06
подскакивая;1;0.06
подумала;1;0.06
подходить;1;0.06
подходя;1;0.06
пойти;1;0.06
показался;1;0.06
полезай;1;0.06
полным;1;0.06
положил;1;0.06
положила;1;0.06
помалу;1;0.06
помахивали;1;0.06
помахивая;1;0.06
помешал;1;0.06
помнила;1;0.06
помятую;1;0.06
поняли;1;0.06
понятия;1;0.06
попалось;1;0.06
пору;1;0.06
посвистывал;1;0.06
послышалось;1;0.06
послышался;1;0.06
посмотрел;1;0.06
посмотреть;1;0.06
потому;1;0.06
потревоженные;1;0.06
похолодело;1;0.06
почтовой;1;0.06
почуяв;1;0.06
почуявшая;1;0.06
пошла;1;0.06
пошли;1;0.06
приглашая;1;0.06
приговаривал;1;0.06
принимала;1;0.06
припекало;1;0.06
приседая;1;0.06
приучают;1;0.06
приучаются;1;0.06
приходилось;1;0.06
пробегала;1;0.06
пробиралась;1;0.06
провалилась;1;0.06
проснувшись;1;0.06
проснулась;1;0.06
проснулись;1;0.06
простой;1;0.06
просыпались;1;0.06
противно;1;0.06
протянулись;1;0.06
прочь;1;0.06
прошлою;1;0.06
прошлую;1;0.06
пружина;1;0.06
прыгнув;1;0.06
прыгнул;1;0.06
прыжками;1;0.06
прямо;1;0.06
псиной;1;0.06
пускай;1;0.06
пустое;1;0.06
пятно;1;0.06
пятном;1;0.06
работать;1;0.06
радостный;1;0.06
радостным;1;0.06
разболелась;1;0.06
разбуженный;1;0.06
разворошил;1;0.06
разговаривал;1;0.06
разгребать;1;0.06
раздалось;1;0.06
разобрал;1;0.06
разорвать;1;0.06
раненую;1;0.06
рано;1;0.06
раньше;1;0.06
рассвело;1;0.06
рассказ;1;0.06
рассмотреть;1;0.06
растянулся;1;0.06
рванулся;1;0.06
редко;1;0.06
рельсов;1;0.06
решив;1;0.06
решила;1;0.06
рога;1;0.06
ружьем;1;0.06
руку;1;0.06
рыхлая;1;0.06
рядом;1;0.06
сам;1;0.06
самом;1;0.06
сарай;1;0.06
сбивалась;1;0.06
сбившись;1;0.06
свежее;1;0.06
сверху;1;0.06
светало;1;0.06
свете;1;0.06
светились;1;0.06
свистел;1;0.06
свистку;1;0.06
сделал;1;0.06
себя;1;0.06
семидесяти;1;0.06
сердито;1;0.06
сзади;1;0.06
сидели;1;0.06
силы;1;0.06
сильной;1;0.06
слабого;1;0.06
слеги;1;0.06
след;1;0.06
следов;1;0.06
сложенные;1;0.06
служил;1;0.06
слух;1;0.06
случалось;1;0.06
слышались;1;0.06
слышны;1;0.06
смерть;1;0.06
смотрел;1;0.06
смотрели;1;0.06
смотрят;1;0.06
снегу;1;0.06
сноп;1;0.06
со;1;0.06
собаки;1;0.06
собачий;1;0.06
собачьего;1;0.06
собой;1;0.06
солнца;1;0.06
солнышке;1;0.06
солома;1;0.06
соломенную;1;0.06
соломой;1;0.06
соображала;1;0.06
соскучился;1;0.06
сосне;1;0.06
сошел;1;0.06
спал;1;0.06
спала;1;0.06
спали;1;0.06
спеша;1;0.06
спросил;1;0.06
старик;1;0.06
старые;1;0.06
ствола;1;0.06
стенке;1;0.06
стоп;1;0.06
сторож;1;0.06
стороне;1;0.06
сторону;1;0.06
стоял;1;0.06
стояли;1;0.06
стояло;1;0.06
стоят;1;0.06
стоящие;1;0.06
странник;1;0.06
странные;1;0.06
сугробами;1;0.06
сухую;1;0.06
схватила;1;0.06
съела;1;0.06
съем;1;0.06
также;1;0.06
таким;1;0.06
таких;1;0.06
там;1;0.06
тверже;1;0.06
телят;1;0.06
темная;1;0.06
темные;1;0.06
теплое;1;0.06
терпела;1;0.06
тетерева;1;0.06
тихо;1;0.06
тогда;1;0.06
того;1;0.06
тонким;1;0.06
топор;1;0.06
тощий;1;0.06
тревожилась;1;0.06
третий;1;0.06
трещали;1;0.06
три;1;0.06
тусклые;1;0.06
тяжелее;1;0.06
увидев;1;0.06
узнав;1;0.06
узнала;1;0.06
унавоженная;1;0.06
упал;1;0.06
упала;1;0.06
уснули;1;0.06
успокоилась;1;0.06
утомился;1;0.06
утром;1;0.06
уши;1;0.06
хворостиной;1;0.06
ходом;1;0.06
холод;1;0.06
холода;1;0.06
хотел;1;0.06
хотелось;1;0.06
хриплым;1;0.06
чего;1;0.06
человек;1;0.06
человеческих;1;0.06
через;1;0.06
черная;1;0.06
черный;1;0.06
четырех;1;0.06
чехов;1;0.06
чрезвычайно;1;0.06
чужих;1;0.06
чуть;1;0.06
чутье;1;0.06
чутьем;1;0.06
шаги;1;0.06
шагом;1;0.06
шарахнулись;1;0.06
шатался;1;0.06
широкие;1;0.06
шло;1;0.06
шумно;1;0.06
шумом;1;0.06
шутку;1;0.06
щелкала;1;0.06
щелкали;1;0.06
щелкнула;1;0.06
щенком;1;0.06
щипать;1;0.06
эта;1;0.06
этого;1;0.06
этом;1;0.06
этот;1;0.06
эхо;1;0.06
я;1;0.06
ягненка;1;0.06
язык;1;0.06
яма;1;0.06
яме;1;0.06
яму;1;0.06
ямы;1;0.06
ярки;1;0.06
яровой;1;0.06
